,original_count,original_mean,original_std,original_min,original_25%,original_50%,original_75%,original_max,anonymized_count,anonymized_mean,anonymized_std,anonymized_min,anonymized_25%,anonymized_50%,anonymized_75%,anonymized_max,original_missing,anonymized_missing,original_missing_perc,anonymized_missing_perc,MAE,RMSE
age,328108.0,32.52609811403562,7.730576172086706,13.0,27.0,31.0,37.0,125.0,328108.0,32.526098114035634,7.490724380422127,19.878154681139755,27.300999545661064,31.32518222431225,37.22402088772846,119.75,0.0,0,0.0,0.0,1.5515637286779733,1.910718472718814
height,159233.0,120.83500279464684,21021.805219822305,0.0,66.0,69.0,72.0,8388607.0,328108.0,120.83500279464687,14644.56818357079,68.0,91.0799403249538,95.22416646333107,99.365872762758,8388607.0,168875.0,0,51.46933326831409,0.0,24.98512606306852,33.696465239924215
weight,229121.0,170.91939193701145,58.43977601584808,1.0,145.0,170.0,192.0,20175.0,328108.0,170.91939193701145,47.35230260866513,75.33711048158641,167.5835640321075,170.0285441887426,176.59021493789746,20175.0,98987.0,0,30.16902970972972,0.0,10.888789785047834,14.051751793682582
candj,104137.0,271.2453978893189,26005.95174402438,-45.0,142.0,195.0,235.0,8388607.0,328108.0,271.24539788931895,14644.322247890525,2.0,241.14250822518895,249.2936727631621,251.8218872332356,8388607.0,223971.0,0,68.26136516025211,0.0,70.78183262236215,780.3003866361693
snatch,97039.0,242.80298642813713,27123.0381710171,0.0,105.0,145.0,185.0,8388607.0,328108.0,242.80298642813705,14748.013997410546,2.0,212.82642821883564,216.90641233234737,218.82658630333583,8388607.0,231069.0,0,70.42467724042083,0.0,75.408128576651,477.57448742363346
deadlift,114977.0,698.2997382085113,55315.3918608884,-500.0,255.0,345.0,415.0,8388607.0,328108.0,698.2997382085114,32744.20951358559,2.0,557.5832143914505,574.561157833995,592.0983558825168,8388607.0,213131.0,0,64.95757494483524,0.0,232.27832367674247,270.4561563525814
backsq,110188.0,586.2660271535921,50605.136119570176,-7.0,205.0,275.0,335.0,8388607.0,328108.0,586.2660271535921,29318.381888061987,2.0,468.410872843578,482.4846078567607,499.2176806486901,8388607.0,217920.0,0,66.41715532690455,0.0,211.67288587897085,1139.661374079282
cluster_labels,,,,,,,,,,,,,,,,,,0,,0.0,,
gender,,,,,,,,,,,,,,,,,0.0,0,0.0,0.0,,
region,,,,,,,,,,,,,,,,,79848.0,10,24.335889402269984,0.003047776951491582,,
