sex,age,race,education,workclass,occupation,salary-class
Male,39,White,Bachelors,State-gov,Adm-clerical,<=50K
Male,50,White,Bachelors,Self-emp-not-inc,Exec-managerial,<=50K
Male,38,White,HS-grad,Private,Handlers-cleaners,<=50K
Male,53,Black,11th,Private,Handlers-cleaners,<=50K
Female,28,Black,Bachelors,Private,Prof-specialty,<=50K
Female,37,White,Masters,Private,Exec-managerial,<=50K
Female,49,Black,9th,Private,Other-service,<=50K
Male,52,White,HS-grad,Self-emp-not-inc,Exec-managerial,>50K
Female,31,White,Masters,Private,Prof-specialty,>50K
Male,42,White,Bachelors,Private,Exec-managerial,>50K
Male,37,Black,Some-college,Private,Exec-managerial,>50K
Male,30,Asian-Pac-Islander,Bachelors,State-gov,Prof-specialty,>50K
Female,23,White,Bachelors,Private,Adm-clerical,<=50K
Male,32,Black,Assoc-acdm,Private,Sales,<=50K
Male,34,Amer-Indian-Eskimo,7th-8th,Private,Transport-moving,<=50K
Male,25,White,HS-grad,Self-emp-not-inc,Farming-fishing,<=50K
Male,32,White,HS-grad,Private,Machine-op-inspct,<=50K
Male,38,White,11th,Private,Sales,<=50K
Female,43,White,Masters,Self-emp-not-inc,Exec-managerial,>50K
Male,40,White,Doctorate,Private,Prof-specialty,>50K
Female,54,Black,HS-grad,Private,Other-service,<=50K
Male,35,Black,9th,Federal-gov,Farming-fishing,<=50K
Male,43,White,11th,Private,Transport-moving,<=50K
Female,59,White,HS-grad,Private,Tech-support,<=50K
Male,56,White,Bachelors,Local-gov,Tech-support,>50K
Male,19,White,HS-grad,Private,Craft-repair,<=50K
Male,39,White,HS-grad,Private,Exec-managerial,<=50K
Male,49,White,HS-grad,Private,Craft-repair,<=50K
Male,23,White,Assoc-acdm,Local-gov,Protective-serv,<=50K
Male,20,Black,Some-college,Private,Sales,<=50K
Male,45,White,Bachelors,Private,Exec-managerial,<=50K
Male,30,White,Some-college,Federal-gov,Adm-clerical,<=50K
Male,22,Black,Some-college,State-gov,Other-service,<=50K
Male,48,White,11th,Private,Machine-op-inspct,<=50K
Male,21,White,Some-college,Private,Machine-op-inspct,<=50K
Female,19,White,HS-grad,Private,Adm-clerical,<=50K
Male,48,White,Assoc-acdm,Self-emp-not-inc,Prof-specialty,<=50K
Male,31,White,9th,Private,Machine-op-inspct,<=50K
Male,53,White,Bachelors,Self-emp-not-inc,Prof-specialty,<=50K
Male,24,White,Bachelors,Private,Tech-support,<=50K
Female,49,White,HS-grad,Private,Adm-clerical,<=50K
Male,25,White,HS-grad,Private,Handlers-cleaners,<=50K
Male,57,Black,Bachelors,Federal-gov,Prof-specialty,>50K
Male,53,White,HS-grad,Private,Machine-op-inspct,<=50K
Female,44,White,Masters,Private,Exec-managerial,<=50K
Male,41,White,Assoc-voc,State-gov,Craft-repair,<=50K
Male,29,White,Assoc-voc,Private,Prof-specialty,<=50K
Female,25,Other,Some-college,Private,Exec-managerial,<=50K
Female,47,White,Prof-school,Private,Prof-specialty,>50K
Male,50,White,Bachelors,Federal-gov,Exec-managerial,>50K
Male,47,White,HS-grad,Self-emp-inc,Exec-managerial,<=50K
Male,43,White,Some-college,Private,Tech-support,>50K
Male,46,White,5th-6th,Private,Machine-op-inspct,<=50K
Male,35,White,Assoc-voc,Private,Other-service,<=50K
Male,41,White,HS-grad,Private,Adm-clerical,<=50K
Male,30,White,HS-grad,Private,Machine-op-inspct,<=50K
Male,30,White,Bachelors,Private,Sales,<=50K
Male,48,White,HS-grad,Private,Transport-moving,<=50K
Male,42,White,Doctorate,Private,Prof-specialty,>50K
Male,29,White,Some-college,Private,Tech-support,<=50K
Male,36,White,HS-grad,Private,Craft-repair,<=50K
Female,28,White,Some-college,Private,Adm-clerical,<=50K
Female,53,White,HS-grad,Private,Adm-clerical,>50K
Male,49,White,Some-college,Self-emp-inc,Exec-managerial,>50K
Male,19,White,Some-college,Private,Prof-specialty,<=50K
Female,31,Black,Bachelors,Private,Sales,<=50K
Male,29,White,Bachelors,Self-emp-not-inc,Sales,>50K
Male,23,White,Some-college,Private,Machine-op-inspct,<=50K
Male,79,White,Some-college,Private,Prof-specialty,<=50K
Male,27,White,HS-grad,Private,Other-service,<=50K
Male,40,White,Assoc-acdm,Private,Adm-clerical,<=50K
Female,18,White,11th,Private,Other-service,<=50K
Male,31,White,7th-8th,Local-gov,Farming-fishing,<=50K
Male,18,White,HS-grad,Private,Sales,<=50K
Male,52,White,Bachelors,Private,Other-service,<=50K
Female,46,White,HS-grad,Private,Other-service,<=50K
Male,59,White,HS-grad,Private,Sales,<=50K
Female,44,White,HS-grad,Private,Craft-repair,>50K
Female,53,White,HS-grad,Private,Sales,<=50K
Male,49,White,HS-grad,Local-gov,Protective-serv,>50K
Male,33,White,Masters,Private,Prof-specialty,<=50K
Male,30,White,9th,Private,Sales,<=50K
Female,43,White,Doctorate,Federal-gov,Prof-specialty,>50K
Male,57,White,Assoc-voc,Private,Prof-specialty,<=50K
Female,37,White,Some-college,Private,Craft-repair,<=50K
Female,28,Black,Some-college,Private,Machine-op-inspct,<=50K
Male,34,White,Bachelors,Local-gov,Protective-serv,>50K
Male,29,White,Some-college,Local-gov,Handlers-cleaners,<=50K
Male,48,White,Doctorate,Self-emp-not-inc,Prof-specialty,>50K
Male,37,White,Some-college,Private,Sales,>50K
Female,48,White,Assoc-acdm,Private,Exec-managerial,<=50K
Male,32,Black,HS-grad,Federal-gov,Other-service,<=50K
Male,76,White,Masters,Private,Exec-managerial,>50K
Male,44,White,Bachelors,Private,Exec-managerial,>50K
Female,47,White,Masters,Self-emp-not-inc,Prof-specialty,<=50K
Female,20,White,Some-college,Private,Tech-support,<=50K
Male,29,White,HS-grad,Private,Craft-repair,<=50K
Male,32,White,HS-grad,Self-emp-inc,Craft-repair,>50K
Male,30,White,11th,Private,Handlers-cleaners,<=50K
Female,31,White,HS-grad,Local-gov,Adm-clerical,<=50K
Male,42,White,HS-grad,Private,Handlers-cleaners,<=50K
Male,24,White,Bachelors,Private,Sales,<=50K
Male,38,White,Prof-school,Private,Prof-specialty,>50K
Male,56,White,HS-grad,Self-emp-not-inc,Other-service,>50K
Female,28,White,Some-college,Private,Sales,<=50K
Female,36,White,HS-grad,Private,Machine-op-inspct,<=50K
Male,53,White,9th,Private,Handlers-cleaners,<=50K
Male,56,White,Some-college,Self-emp-inc,Sales,<=50K
Male,49,Black,Assoc-voc,Local-gov,Craft-repair,>50K
Male,55,White,Some-college,Private,Sales,<=50K
Male,22,White,HS-grad,Private,Craft-repair,<=50K
Female,21,White,Some-college,Private,Other-service,<=50K
Male,40,White,Bachelors,Private,Exec-managerial,<=50K
Male,30,Black,Bachelors,Private,Exec-managerial,<=50K
Male,29,White,Bachelors,State-gov,Prof-specialty,>50K
Male,19,Black,Some-college,Private,Other-service,<=50K
Female,47,White,Bachelors,Private,Exec-managerial,>50K
Female,20,White,Some-college,Private,Adm-clerical,<=50K
Male,31,White,Assoc-acdm,Private,Adm-clerical,>50K
Male,39,White,Some-college,Private,Craft-repair,<=50K
Female,28,White,Assoc-acdm,Private,Sales,<=50K
Female,24,White,HS-grad,Private,Other-service,<=50K
Male,38,White,HS-grad,Self-emp-not-inc,Craft-repair,<=50K
Male,37,White,Bachelors,Private,Sales,<=50K
Female,46,Black,Assoc-acdm,Private,Tech-support,<=50K
Male,38,White,Masters,Federal-gov,Prof-specialty,>50K
Male,43,White,HS-grad,Self-emp-not-inc,Craft-repair,<=50K
Female,27,White,Assoc-voc,Private,Adm-clerical,<=50K
Male,20,White,Some-college,Private,Sales,<=50K
Male,49,Asian-Pac-Islander,Some-college,Private,Craft-repair,>50K
Male,61,White,HS-grad,Self-emp-inc,Craft-repair,<=50K
Female,27,White,Some-college,Private,Sales,<=50K
Male,19,White,Some-college,Private,Other-service,<=50K
Female,45,White,Assoc-voc,Private,Prof-specialty,>50K
Male,70,White,Some-college,Private,Tech-support,<=50K
Female,31,Black,HS-grad,Private,Transport-moving,<=50K
Male,22,White,Some-college,Private,Other-service,<=50K
Female,36,White,HS-grad,Private,Other-service,<=50K
Male,64,White,11th,Private,Craft-repair,<=50K
Female,47,White,Some-college,Local-gov,Adm-clerical,<=50K
Female,34,White,HS-grad,Private,Adm-clerical,<=50K
Female,33,Asian-Pac-Islander,Bachelors,Private,Exec-managerial,<=50K
Male,21,White,HS-grad,Private,Craft-repair,<=50K
Male,48,White,HS-grad,Private,Craft-repair,<=50K
Male,23,White,Bachelors,Private,Handlers-cleaners,<=50K
Male,71,Black,Some-college,Self-emp-not-inc,Sales,<=50K
Male,29,White,HS-grad,Private,Craft-repair,<=50K
Male,42,Black,Bachelors,Private,Other-service,<=50K
Female,25,White,HS-grad,Private,Other-service,<=50K
Female,44,Asian-Pac-Islander,Masters,Self-emp-inc,Exec-managerial,<=50K
Female,28,Asian-Pac-Islander,HS-grad,Private,Exec-managerial,<=50K
Male,45,White,Masters,Self-emp-not-inc,Sales,>50K
Female,36,White,Some-college,Private,Other-service,<=50K
Male,39,White,Assoc-acdm,Federal-gov,Exec-managerial,<=50K
Male,46,White,Masters,State-gov,Protective-serv,<=50K
Male,18,White,11th,Private,Handlers-cleaners,<=50K
Female,66,White,Assoc-voc,Local-gov,Prof-specialty,<=50K
Male,27,White,HS-grad,Private,Other-service,<=50K
Male,28,White,HS-grad,State-gov,Protective-serv,<=50K
Male,51,White,Some-college,Private,Sales,>50K
Male,27,White,Bachelors,Private,Craft-repair,<=50K
Male,28,White,Bachelors,State-gov,Prof-specialty,>50K
Female,27,White,HS-grad,Private,Sales,<=50K
Male,21,Black,HS-grad,Private,Craft-repair,<=50K
Male,34,Black,HS-grad,Private,Handlers-cleaners,<=50K
Male,18,White,HS-grad,Private,Other-service,<=50K
Male,33,White,Bachelors,Private,Prof-specialty,<=50K
Male,44,Black,Some-college,Local-gov,Exec-managerial,>50K
Female,43,White,Some-college,Private,Adm-clerical,<=50K
Male,30,Black,Some-college,Private,Craft-repair,<=50K
Male,40,White,7th-8th,Private,Machine-op-inspct,>50K
Male,37,White,Some-college,Federal-gov,Adm-clerical,>50K
Male,34,Black,HS-grad,Private,Adm-clerical,<=50K
Female,41,White,Bachelors,Self-emp-not-inc,Exec-managerial,<=50K
Female,31,White,Masters,Private,Prof-specialty,<=50K
Male,58,White,Doctorate,State-gov,Prof-specialty,>50K
Female,38,Black,Some-college,Private,Machine-op-inspct,<=50K
Male,24,White,Some-college,Private,Machine-op-inspct,<=50K
Male,41,Black,Bachelors,Local-gov,Craft-repair,<=50K
Male,47,White,Some-college,Private,Tech-support,<=50K
Male,41,White,Bachelors,Federal-gov,Tech-support,<=50K
Male,23,White,5th-6th,Private,Transport-moving,<=50K
Male,36,White,Some-college,Private,Craft-repair,<=50K
Female,40,White,Masters,Federal-gov,Exec-managerial,>50K
Male,35,White,Masters,Private,Prof-specialty,>50K
Male,24,White,HS-grad,Self-emp-not-inc,Sales,<=50K
Female,26,White,Masters,Private,Prof-specialty,<=50K
Male,51,White,Bachelors,Private,Exec-managerial,>50K
Female,42,White,Some-college,Local-gov,Prof-specialty,<=50K
Female,37,White,HS-grad,State-gov,Adm-clerical,<=50K
Female,18,White,11th,Private,Sales,<=50K
Male,36,Black,Bachelors,Private,Other-service,>50K
Male,35,White,HS-grad,Private,Craft-repair,<=50K
Female,58,White,HS-grad,Self-emp-inc,Sales,>50K
Female,17,White,11th,Private,Sales,<=50K
Male,44,Black,HS-grad,Local-gov,Transport-moving,<=50K
Male,37,White,HS-grad,Private,Craft-repair,>50K
Female,35,Amer-Indian-Eskimo,Some-college,Private,Sales,<=50K
Male,60,Asian-Pac-Islander,HS-grad,Private,Craft-repair,<=50K
Male,54,White,7th-8th,Self-emp-inc,Machine-op-inspct,>50K
Male,37,Black,Bachelors,Private,Exec-managerial,>50K
Female,50,White,Assoc-acdm,Private,Sales,<=50K
Male,38,White,Bachelors,Private,Sales,<=50K
Male,45,White,Bachelors,Private,Prof-specialty,<=50K
Male,25,White,10th,Private,Craft-repair,<=50K
Male,31,White,Some-college,Private,Handlers-cleaners,<=50K
Male,90,Black,HS-grad,Private,Other-service,<=50K
Male,54,Black,HS-grad,Private,Adm-clerical,<=50K
Female,53,White,Preschool,Local-gov,Machine-op-inspct,<=50K
Female,18,White,HS-grad,Private,Sales,<=50K
Male,66,White,HS-grad,Self-emp-not-inc,Farming-fishing,<=50K
Female,75,White,Assoc-voc,Private,Adm-clerical,<=50K
Female,65,White,HS-grad,Private,Adm-clerical,<=50K
Male,35,Black,11th,Private,Transport-moving,<=50K
