sex,age,race,edu_work,occ_salary
1,45.0,White,GradGov,NoTechModest
0,55.0,Other,InterGov,TechModest
0,43.0,White,SecNoGov,TechHigh
0,48.0,Other,GradNoGov,OtherModest
1,34.0,Other,GradNoGov,TechModest
1,36.0,White,GradNoGov,TechModest
0,51.0,Other,SecNoGov,NoTechModest
0,54.0,White,SecNoGov,TechHigh
0,36.0,White,GradNoGov,TechHigh
0,46.0,White,GradNoGov,TechHigh
0,39.0,Other,SecNoGov,TechHigh
0,27.0,Other,GradNoGov,TechHigh
0,34.0,White,GradNoGov,NoTechModest
0,19.0,Other,SecNoGov,NoTechModest
0,32.0,White,SecNoGov,OtherModest
1,19.0,White,GradNoGov,OtherModest
0,29.0,White,InterNoGov,OtherModest
0,26.0,White,SecNoGov,OtherModest
1,46.0,White,GradNoGov,TechHigh
0,39.0,White,GradNoGov,TechHigh
1,73.0,Other,SecNoGov,OtherModest
0,32.0,Other,SecNoGov,OtherModest
0,61.0,White,SecNoGov,OtherModest
1,68.0,White,SecNoGov,OtherModest
0,56.0,White,SecNoGov,OtherModest
0,20.0,White,SecNoGov,OtherModest
0,38.0,White,SecNoGov,OtherModest
0,55.0,White,SecNoGov,OtherModest
0,12.0,White,InterGov,OtherModest
0,18.0,Other,InterNoGov,NoTechModest
0,34.0,White,GradNoGov,TechModest
0,29.0,White,InterGov,NoTechModest
0,40.0,White,InterGov,OtherModest
0,55.0,White,GradNoGov,OtherModest
1,24.0,White,InterNoGov,OtherModest
0,14.0,White,SecNoGov,NoTechModest
0,53.0,White,SecNoGov,OtherModest
0,44.0,White,SecNoGov,OtherModest
0,42.0,White,GradNoGov,TechModest
0,32.0,White,GradNoGov,OtherModest
1,54.0,White,SecNoGov,OtherModest
0,28.0,White,SecNoGov,OtherModest
0,44.0,Other,GradGov,TechHigh
0,52.0,White,SecNoGov,OtherModest
1,43.0,White,GradNoGov,TechModest
0,42.0,White,SecNoGov,TechModest
0,40.0,White,SecNoGov,TechModest
1,26.0,Other,InterNoGov,TechModest
1,42.0,White,SecNoGov,TechHigh
0,39.0,White,GradGov,TechHigh
0,51.0,White,SecNoGov,TechModest
0,44.0,White,InterNoGov,Other
0,52.0,White,SecNoGov,OtherModest
0,32.0,White,SecNoGov,OtherModest
0,33.0,White,SecNoGov,NoTechModest
0,30.0,White,GradGov,OtherModest
0,31.0,White,GradNoGov,TechModest
0,50.0,White,SecNoGov,OtherModest
0,41.0,White,GradNoGov,OtherModest
0,37.0,White,InterNoGov,OtherModest
0,33.0,White,SecNoGov,OtherModest
1,13.0,White,InterNoGov,NoTechModest
1,55.0,White,SecNoGov,NoTechHigh
0,49.0,White,InterNoGov,TechHigh
0,16.0,White,SecNoGov,TechModest
1,19.0,Other,GradNoGov,Other
0,17.0,White,GradNoGov,NoTechHigh
0,21.0,White,InterNoGov,TechModest
0,78.0,White,InterNoGov,TechModest
0,25.0,White,SecNoGov,OtherModest
0,42.0,White,InterNoGov,Other
1,13.0,White,SecNoGov,NoTechModest
0,51.0,White,SecGov,OtherModest
0,10.0,Other,GradNoGov,NoTechModest
